100
love-hate|a=2,e=4,h=3,l=5,o=1,t=6,v=0
on-off|[('f', 1/3), ('n', 3/8), ('o', 5/9)]
yin-yang|a=2,g=1,i=3,n=0,y=4
few-many|a=4,e=1,f=2,m=3,n=6,w=0,y=5
guest-host|e=2,g=3,h=6,o=0,s=5,t=1,u=4
fore-aft|{'a': 0, 'e': 3, 'f': 1, 'o': 2, 'r': 5, 't': 4}
high-low|[('g', 0), ('h', 3), ('i', 1), ('l', 2), ('o', 4), ('w', 5)]
discourage-encourage|a=4/5,c=2/9,d=1/2,e=6/9,g=4/6,i=5/9,n=4,o=6/7,r=9/10,s=3/6,u=4/10
arrive-depart|a=4,d=1,e=2,i=0,p=7,r=3,t=5,v=6
humble-proud|{'b': 9, 'd': 3/9, 'e': 2, 'h': 8, 'l': 4, 'm': 1/5, 'o': 6, 'p': 0, 'r': 7, 'u': 1/3}
dead-alive|{'a': 0, 'd': 1, 'e': 5, 'i': 2, 'l': 3, 'v': 4}
lose-find|[('d', 4), ('e', 7), ('f', 1), ('i', 0), ('l', 2), ('n', 5), ('o', 6), ('s', 3)]
soft-hard|a=3,d=6,f=7,h=2,o=1,r=5,s=0,t=4
compulsory-voluntary|a=10,c=8,l=12,m=4,n=6,o=11,p=0,r=9,s=2,t=1,u=5,v=7,y=3
external-internal|[('a', 2), ('e', 6), ('i', 1), ('l', 4), ('n', 3), ('r', 0), ('t', 7), ('x', 5)]
push-pull|[('h', 3), ('l', 2), ('p', 9/10), ('s', 1), ('u', 3/6)]
less-more|e=3,l=5,m=4,o=1,r=2,s=0
ascend-descend|{'a': 5, 'c': 2, 'd': 0, 'e': 4, 'n': 1, 's': 3}
junior-senior|{'e': 6, 'i': 0, 'j': 5, 'n': 1, 'o': 4, 'r': 3, 's': 2, 'u': 7}
backward-forward|a=4,b=7,c=1,d=2,f=5,k=3,o=8,r=0,w=6
bitter-sweet|b=0,e=2,i=5,r=1,s=3,t=4,w=6
serious-trivial|a=0,e=7,i=9,l=2,o=6,r=8,s=3,t=5,u=1,v=4
thick-thin|{'c': 6/9, 'h': 1, 'i': 8/10, 'k': 2, 'n': 5, 't': 3}
odd-even|[('d', 1), ('e', 2), ('n', 3), ('o', 0), ('v', 4)]
poetry-prose|{'e': 2, 'o': 3, 'p': 1, 'r': 6, 's': 5, 't': 4, 'y': 0}
internal-external|[('a', 5/9), ('e', 1), ('i', 3/7), ('l', 5), ('n', 4), ('r', 0), ('t', 7), ('x', 6)]
voluntary-compulsory|[('a', 6), ('c', 0), ('l', 8), ('m', 9), ('n', 2), ('o', 11), ('p', 4), ('r', 1), ('s', 5), ('t', 10), ('u', 3), ('v', 12), ('y', 7)]
start-finish|[('a', 2), ('f', 5), ('h', 1), ('i', 3), ('n', 7), ('r', 4), ('s', 0), ('t', 6)]
careful-careless|[('a', 5), ('c', 0), ('e', 3), ('f', 6), ('l', 4), ('r', 2), ('s', 1), ('u', 7)]
low-high|[('g', 0), ('h', 4), ('i', 5), ('l', 2), ('o', 3), ('w', 1)]
demand-supply|[('a', 2), ('d', 7), ('e', 0), ('l', 4), ('m', 6), ('n', 5), ('p', 9), ('s', 1), ('u', 3), ('y', 8)]
get-give|[('e', 0), ('g', 3), ('i', 4), ('t', 1), ('v', 2)]
some-none|{'e': 4, 'm': 2, 'n': 1, 'o': 0, 's': 3}
win-lose|e=1,i=5,l=4,n=6,o=2,s=3,w=0
admit-deny|[('a', 6), ('d', 4), ('e', 2), ('i', 0), ('m', 1), ('n', 7), ('t', 3), ('y', 5)]
tall-short|a=3,h=4,l=5,o=6,r=1,s=0,t=2
conceal-reveal|[('a', 2), ('c', 6/8), ('e', 9/10), ('l', 9/10), ('n', 6), ('o', 7), ('r', 5/10), ('v', 0)]
tame-wild|{'a': 4, 'd': 0, 'e': 7, 'i': 5, 'l': 2, 'm': 1, 't': 3, 'w': 6}
yes-no|e=2,n=3,o=1,s=4,y=0
out-in|[('i', 2), ('n', 1), ('o', 4), ('t', 3), ('u', 0)]
exterior-interior|[('e', 2), ('i', 5/6), ('n', 0), ('o', 6), ('r', 3), ('t', 1), ('x', 5)]
